4983102,0.0,0.0,robot,web robot,robot activ,robot exclus,robot rule
11485543,0.2,0.3333333333333333,search,semant search,web search,search task,search engin
7461370,0.2,0.3333333333333333,irlbot,page,web crawler,billion page,html page
10272014,0.2,0.16666666666666666,forum page,post page,forum web,web forum,forum web forum
9331037,0.0,0.0,phish,phish detect,detect phish,phish detect phish,retriev phish
1225527,0.0,0.0,xml,xml data,search xml,xml search,xml search xml
10950133,0.2,0.16666666666666666,filter,xss filter,client-sid filter,filter design,filter cross-sit
9934456,0.2,0.25,xml,xml schema,xml document,tool,xml type
4590503,0.0,0.0,onlin databas,web form,classifi onlin,classifi onlin databas,onlin databasedomain
4484921,0.2,0.14285714285714285,tag,collabor tag,tag system,tag co-occurr,mani tag
11570239,0.4,0.3333333333333333,link,broken link,link data,link problem,broken link data
9614136,0.0,0.0,imag,product imag,imag search,other imag,rank imag
583335,0.6,0.75,handheld devic,summar,fractal summar,mobil devic,document summar
7728513,0.4,0.5,annot,social annot,model,languag model,annot data
680590,0.2,0.5,email,email convers,email summar,summar email,email summar email
11708130,0.2,0.3333333333333333,folksonomi,folksonomi algorithm,tag,social tag,tag system
3894952,0.0,0.0,spam,spam link,spam page,redirect spam,spam double-funnel
11394824,0.0,0.0,email,email featur,advanc email,email communic,email respons
21587,0.0,0.0,procedur,design,design pattern,theoret justif,grammar rule
690695,0.0,0.0,web,web page,schedul web,search engin,search repositori
10389546,0.2,0.16666666666666666,sync kit,kit persist,sync kit persist,web,web browser
589031,0.0,0.0,map,map languag,map descript,relat legaci,odemapst processor
1495443,0.4,0.3333333333333333,electron negoti,xml,xml schema,communic design,basi
10582584,0.0,0.0,disput,disput finder,disput claim,known disput,known disput finder
3611227,0.2,0.3333333333333333,lsh,lsh forest,similar index,similar search,similar index scheme
677475,0.4,0.3333333333333333,match,match approach,linguist match,ontolog match,document approach
10178588,0.0,0.0,domain,domain exampl,differ domain,space domain,domain transfer
704848,0.0,0.0,ebag infrastructur,school,web infrastructur,school environ,school materi
334718,0.2,0.16666666666666666,definit,pattern,definit sentenc,soft pattern,definit generat definit
10460577,0.2,0.14285714285714285,tourist photo,inform,tourist site,tempor inform,relat inform
10023569,0.2,0.5,web applic,servic,other servic,multi-servic applic,sla
13059029,0.2,0.16666666666666666,topic,topic evolut,discov topic,topic evolut graph,discov topic evolut
696215,0.0,0.0,multimedia web,multimedia object,web object,web page,multimedia web object
825446,0.2,0.1111111111111111,inform grid,organ,semant web,grid resourc,grid framework
3766621,0.0,0.0,queri similar,similar model,semant similar,similar measur similar,search queri similar
13064160,0.0,0.0,word break,url word,url word break,word break task,word break perform
13061804,0.4,0.5,spell correct,queri,engin queri,onlin spell,queri complet
310161,0.2,0.3333333333333333,web servic,servic composit,web servic composit,servic creation,servic capabl
10844303,0.0,0.0,user queri,user search,user studi,user intent,cluster queri
